,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,food_map_cpu,food_map_rx,food_map_tx,label,class
372,0.0767779939946063,0.6734563971992361,0.4458874458874459,0.0617232937098008,0.073170731707317,0.12890625,0.0214949902781113,0.7627849661121381,0.4188428059395801,0.2172661131984511,0.8208955223880597,1.0,0.4359454449497826,0.4205202312138728,0.4590618336886993,0.4688188521626756,0.3612113157395101,0.3517319520880544,0,2
432,0.097843734973572,0.0,0.0,0.252420525635047,0.0,0.0,0.0342106484213674,0.7627849661121381,0.4188428059395801,0.3489486182680948,0.8208955223880597,1.0,0.0098790767669577,0.0,0.0140724946695095,5.21338455576145e-05,0.3612113157395101,0.3517319520880544,0,2
492,0.1726210816452622,0.0420114576702737,0.1428571428571428,0.2654221621954546,0.0,0.0,0.0057396815685687,0.0,0.0,0.4754619787236129,0.8208955223880597,1.0,0.0075631102071294,0.0,0.0422174840085287,2.370211479354565e-05,0.8346307195747105,0.0,0,3
757,0.0589190636598809,0.1225334182049649,0.2056277056277056,1.0,0.0,0.0,0.0054233536636558,0.0,0.0,0.3355247484097365,0.0,0.0,0.0046852851637822,0.0794797687861271,0.0405117270788912,6.688257189719819e-06,0.0062654262388456,0.0411136290061508,0,1
853,0.0968981071778765,0.0,0.0,0.2098008851504139,0.0,0.0,0.0126217078242377,0.237215033887862,0.0972862263184843,0.3368907843898419,0.0,0.0,0.0029484620975552,0.0,0.0,7.910681068398143e-06,0.0,0.0,1,1
854,0.0711941036794652,0.0,0.0,0.2098008851504139,0.0,0.0,0.0031888556011483,0.0,0.0,0.3368907843898419,0.0,0.0,0.0029484620975552,0.0,0.0,4.3626659627854364e-06,0.0,0.0,1,1
855,0.0711941036794652,0.0,0.0,0.0134214451004372,0.0,0.0,0.0079734722811496,0.0517560073937153,0.043010752688172,0.1323965295188498,0.4104477611940298,0.5,0.0029484620975552,0.0,0.0,4.3626659627854364e-06,0.0,0.0,1,1
856,0.0580633123232175,0.0267345639719923,0.0909090909090909,0.2431123683492736,0.0,0.0,0.0079734722811496,0.0517560073937153,0.043010752688172,0.3200432408721889,0.0,0.0,0.0029484620975552,0.0,0.0,6.281626958646298e-06,0.0,0.0,1,1
857,0.1879602185816724,0.0,0.0,0.2431123683492736,0.0,0.0,0.002508842968184,0.0129390018484288,0.010752688172043,0.3200432408721889,0.0,0.0,0.0029484620975552,0.0,0.0,9.350343059377284e-06,0.0,0.0,1,1
858,0.1879602185816724,0.0,0.0,0.0799499353294677,0.4268292682926829,0.37109375,0.0046440423320128,0.0,0.0,0.1273018354422397,0.0,0.0,0.0048025936583297,0.0,0.0,9.350343059377284e-06,0.0,0.0,1,1
859,0.0534183455775073,0.0,0.0,0.0799499353294677,0.4268292682926829,0.37109375,0.0046440423320128,0.0,0.0,0.1022822505714298,0.0,0.0,0.0048025936583297,0.0,0.0,3.5920823744404814e-06,0.0365483197265995,0.0153771447070249,1,1
860,0.1628428680706511,0.2450668364099299,0.4112554112554112,0.0503105945289609,0.0,0.0,0.0024831799057417,0.0,0.0,0.1257073676952636,0.0,0.0,0.0028903703066139,0.0794797687861271,0.0405117270788912,3.5920823744404814e-06,0.0365483197265995,0.0153771447070249,1,1
861,0.1628428680706511,0.2450668364099299,0.4112554112554112,0.1042082039189462,0.0,0.0,0.0124321380439283,0.237215033887862,0.0972862263184843,0.1257073676952636,0.0,0.0,0.00592537702438,0.0,0.0,4.3032979998393885e-06,0.0,0.0,1,1
862,0.0809172231174466,0.0,0.0,0.1042082039189462,0.0,0.0,0.002432021712854,0.0,0.0,0.1214600083244459,0.0,0.0,0.00592537702438,0.0,0.0,4.724822599544226e-06,0.0,0.0,1,1
863,0.0809172231174466,0.0,0.0,0.0482775421678266,0.0,0.0,0.002432021712854,0.0,0.0,0.1226708368310487,0.0,0.0,0.0014513047355982,0.0,0.0,4.724822599544226e-06,0.0,0.0,1,1
864,0.0613372979870593,0.0,0.0,0.1761378934124044,0.0,0.0,0.0007811585836094,0.0,0.0,0.1604405579901368,0.8208955223880597,1.0,0.0014513047355982,0.0,0.0,2.7150922991983207e-06,0.0,0.0,1,1
865,0.0613372979870593,0.0,0.0,0.1761378934124044,0.0,0.0,0.0007811585836094,0.0,0.0,0.0826196008470194,0.0,0.0,0.0031847176711698,0.0,0.0,8.484895167499031e-06,0.0,0.0,1,1
866,0.0433603467186861,0.0,0.0,0.0396875797383263,0.0,0.0,0.0021555598462463,0.0,0.0,0.0826196008470194,0.0,0.0,0.0030335192694717,0.0,0.0,8.484895167499031e-06,0.0,0.0,1,1
867,0.0433603467186861,0.0,0.0,0.0396875797383263,0.0,0.0,0.005585601416947,0.0,0.0,0.0359184428521177,0.0,0.0,0.0030335192694717,0.0,0.0,1.7490851981336218e-06,0.0,0.0,1,1
868,0.0638945288468916,0.0,0.0,0.0647579694332749,0.4268292682926829,0.37109375,0.0029024552136305,0.0,0.0,0.2126922225289779,0.0,0.0,0.0025553692105415,0.0,0.0,8.018217648055952e-06,0.0730966394531991,0.0307542894140498,1,1
869,0.1067567714676626,0.0,0.0,0.1124424784211591,0.0,0.0,0.0029024552136305,0.0,0.0,0.2126922225289779,0.0,0.0,0.0054474230599195,0.1589595375722543,0.0810234541577825,5.957372871217839e-06,0.0,0.0,1,1
870,0.1067567714676626,0.0,0.0,0.0791633304884164,0.0,0.0,0.0020653650973414,0.0,0.0,0.0802538255313841,0.0,0.0,0.0054474230599195,0.1589595375722543,0.0810234541577825,6.649764198666255e-06,0.0,0.0,1,1
